index,brewery_id,brewery_inBusiness,beer_name,beer_style,abv,ibu_max,ibu_min,beer_id
0,QEB46N,Y,Bended Tree,Field Beer,5,70,5,rjwbiG
1,QEB46N,Y,Blonde Ale,Golden or Blonde Ale,5,25,15,6NOE18
2,QEB46N,Y,Hop Rooted,American-Style India Pale Ale,6.5,70,50,U3fPrh
3,ichhfQ,Y,Bardstown Barleywine,American-Style Barley Wine Ale,10,100,60,PsTQTg
4,ichhfQ,Y,Bee Student,Specialty Honey Lager or Ale,NaN,100,NaN,SgJVJf
5,ichhfQ,Y,Bestway IPA,American-Style India Pale Ale,NaN,70,50,SlOBl2
6,ichhfQ,Y,Black Hearted,German-Style Schwarzbier,NaN,30,22,JdTvly
7,ichhfQ,Y,Black Raven IPA,Specialty Beer,7,100,NaN,gvjgyk
8,ichhfQ,Y,Brown Mountain Light,Golden or Blonde Ale,NaN,25,15,KHrNiV
9,ichhfQ,Y,Calico Jack,American-Style Imperial Stout,9.5,80,50,vxCjvP
10,ichhfQ,Y,Carolus Magnus,Belgian-Style Quadrupel,14,50,25,hJl7cX
11,ichhfQ,Y,Christmas Ale,Herb and Spice Beer,5.5,70,5,eVv2mY
12,ichhfQ,Y,Cubano Walker,American-Style Barley Wine Ale,10,100,60,E2rt0n
13,ichhfQ,Y,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,30,15,qMahAE
14,ichhfQ,Y,Daniel Boone,American-Style Brown Ale,8.5,45,25,hd3pTg
15,ichhfQ,Y,Death By Hops,Imperial or Double India Pale Ale,7,100,65,BF1oAo
16,ichhfQ,Y,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,15,10,YvJ01N
17,ichhfQ,Y,Hickory Stick Stout,American-Style Stout,5,60,35,Ob0m49
18,ichhfQ,Y,Imperial Dominance,American-Style Imperial Stout,10,80,50,GTCtKv
19,ichhfQ,Y,Imperial Stout,American-Style Imperial Stout,10.5,80,50,r0y96l
20,ichhfQ,Y,Irish Walker,British-Style Barley Wine Ale,7.7,60,40,2CCEd7
21,ichhfQ,Y,Lindley Park,American-Style Imperial Stout,10,80,50,NzKMU3
22,ichhfQ,Y,Monkey's Uncle Munich-Style Dunkle Lager Beer,European-Style Dark / Münchner Dunkel,NaN,25,16,7ftagX
23,ichhfQ,Y,Nitro Death By Hops,American-Style India Pale Ale,7,70,50,nIECYI
24,ichhfQ,Y,Oktoberfest Lager,German-Style Märzen,NaN,25,18,JDJ6aI
25,ichhfQ,Y,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,65,45,lmgdVa
26,ichhfQ,Y,Omega Point,American-Style Barley Wine Ale,10,100,60,RDvThU
27,ichhfQ,Y,Peabody's Appalachian Ale,Specialty Beer,NaN,100,NaN,z0RGYi
28,ichhfQ,Y,Peabody's Blendiculous Series 1,British-Style Barley Wine Ale,10.2,60,40,4TK9tJ
29,ichhfQ,Y,Piedmont Pilsner,German-Style Pilsener,4.5,40,25,TKgxGC
30,rBxNNF,Y,Rabbit's Foot Bourbon Barrel-Aged Imperial Stout,American-Style Imperial Stout,10.13,80,50,siJW75
31,ichhfQ,Y,Redeemer,Imperial or Double India Pale Ale,10,100,65,SCXvJy
32,ichhfQ,Y,Ruby Lager,American-Style Premium Lager,4,15,6,nYkcKF
33,ichhfQ,Y,Saison Gee,French & Belgian-Style Saison,NaN,40,20,506AWw
34,ichhfQ,Y,Saison Revolution,French & Belgian-Style Saison,8.5,40,20,e9U5BU
35,ichhfQ,Y,Seven Devils,Scotch Ale,8,35,25,5z4gmS
36,ichhfQ,Y,Southern Cross,American-Style Pilsener,NaN,40,25,wbaBrw
37,ichhfQ,Y,Table Rock Pale Ale,American-Style Pale Ale,5.5,42,30,5ePlPd
38,ichhfQ,Y,The Bean,American-Style Stout,NaN,60,35,4WGjTP
39,ichhfQ,Y,The Event Horizon,American-Style Imperial Stout,8.5,80,50,U69UNh
40,ichhfQ,Y,Wake Up Bitter,American-Style India Pale Ale,7,70,50,502JT6
41,ichhfQ,Y,Wavell Gunn,Scotch Ale,8.5,35,25,I6WI9k
42,ichhfQ,Y,Weizen-Bock,South German-Style Weizenbock / Weissbock,NaN,35,15,hy8ZZ4
43,ichhfQ,Y,Wheat Wine,American-Style Wheat Wine Ale,9.1,85,45,1ETVSD
44,ichhfQ,Y,Wilson Creek E.S.B.,Extra Special Bitter,NaN,45,30,0NbUwv
45,SYkdNz,Y,Arrowhead Red IPA,American-Style Amber/Red Ale,7.2,40,30,gI6qhC
46,SYkdNz,Y,Happy Top Wheat,American-Style Wheat Beer,4.8,35,10,pKwQEt
47,SYkdNz,Y,Leatherwood Red,American-Style Amber/Red Ale,5.6,40,30,RefEOK
48,SYkdNz,Y,Wildcat Pale Ale,American-Style Pale Ale,6.2,42,30,3yO2Xl
49,Cwhr9F,Y,Commitment Phobia,Session India Pale Ale,5.5,NaN,NaN,7F3PYd
50,Cwhr9F,Y,Cowboy Poet,American-Style Lager,4.8,13,5,jYmDi4
51,Cwhr9F,Y,Dry Stout,Classic Irish-Style Dry Stout,NaN,40,30,Spq5dP
52,nHLlnK,Y,'Murican Pilsner,American-Style Pilsener,5.5,40,25,c4f2KE
