brewery,beer_name,beer_style,availability,aby,master_style,abv
7 Clans Brewing,Bended Tree,Field Beer,Year Round,,Other,5.0
7 Clans Brewing,Blonde Ale,Golden or Blonde Ale,Year Round,,Ale,5.0
7 Clans Brewing,Hop Rooted,American-Style India Pale Ale,Year Round,,IPA,6.5
Olde Hickory Brewery,Bee Student,Specialty Honey Lager or Ale,Limited,,Ale,
Olde Hickory Brewery,Bestway IPA,American-Style India Pale Ale,Seasonal,,IPA,
Olde Hickory Brewery,Black Hearted,German-Style Schwarzbier,,,Other,
Olde Hickory Brewery,Black Raven IPA,Specialty Beer,Year Round,,Other,7.0
Olde Hickory Brewery,Brown Mountain Light,Golden or Blonde Ale,Year Round,,Ale,
Olde Hickory Brewery,Calico Jack,American-Style Imperial Stout,,,Stout,9.5
Olde Hickory Brewery,Carolus Magnus,Belgian-Style Quadrupel,,,Other,14.0
Olde Hickory Brewery,Christmas Ale,Herb and Spice Beer,Winter,,Other,5.5
Olde Hickory Brewery,Cubano Walker,American-Style Barley Wine Ale,,,Ale,10.0
Olde Hickory Brewery,Cuvée de Reinke,Belgian-Style Blonde Ale,Limited,,Ale,8.5
Olde Hickory Brewery,Daniel Boone,American-Style Brown Ale,,,Ale,8.5
Olde Hickory Brewery,Death By Hops,Imperial or Double India Pale Ale,Year Round,,IPA,7.0
Olde Hickory Brewery,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,Year Round,,Hefeweizen,4.5
Olde Hickory Brewery,Hickory Stick Stout,American-Style Stout,,,Stout,5.0
Olde Hickory Brewery,Imperial Dominance,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Imperial Stout,American-Style Imperial Stout,Seasonal,,Stout,10.5
Olde Hickory Brewery,Irish Walker,British-Style Barley Wine Ale,Seasonal,,Ale,7.7
Olde Hickory Brewery,Lindley Park,American-Style Imperial Stout,Limited,,Stout,10.0
Olde Hickory Brewery,Nitro Death By Hops,American-Style India Pale Ale,Limited,,IPA,7.0
Olde Hickory Brewery,Oktoberfest Lager,German-Style Märzen,Seasonal,,Other,
Olde Hickory Brewery,Olde Rabbit's Foot,British-Style Imperial Stout,,,Stout,10.13
