,brewery_id,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired
0,QEB46N,rjwbiG,Year Round,Bended Tree,Field Beer,5,24,N
1,QEB46N,6NOE18,Year Round,Blonde Ale,Golden or Blonde Ale,5,20,N
2,QEB46N,U3fPrh,Year Round,Hop Rooted,American-Style India Pale Ale,6.5,60,N
3,ichhfQ,SgJVJf,Limited,Bee Student,Specialty Honey Lager or Ale,NaN,NaN,N
4,ichhfQ,SlOBl2,Seasonal,Bestway IPA,American-Style India Pale Ale,NaN,NaN,N
5,ichhfQ,JdTvly,NaN,Black Hearted,German-Style Schwarzbier,NaN,NaN,N
6,ichhfQ,gvjgyk,Year Round,Black Raven IPA,Specialty Beer,7,NaN,N
7,ichhfQ,KHrNiV,Year Round,Brown Mountain Light,Golden or Blonde Ale,NaN,16.35,N
8,ichhfQ,vxCjvP,NaN,Calico Jack,American-Style Imperial Stout,9.5,NaN,N
9,ichhfQ,hJl7cX,NaN,Carolus Magnus,Belgian-Style Quadrupel,14,NaN,N
10,ichhfQ,eVv2mY,Winter,Christmas Ale,Herb and Spice Beer,5.5,NaN,N
11,ichhfQ,E2rt0n,NaN,Cubano Walker,American-Style Barley Wine Ale,10,NaN,N
12,ichhfQ,qMahAE,Limited,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,NaN,N
13,ichhfQ,hd3pTg,NaN,Daniel Boone,American-Style Brown Ale,8.5,NaN,N
14,ichhfQ,BF1oAo,Year Round,Death By Hops,Imperial or Double India Pale Ale,7,108,N
15,ichhfQ,YvJ01N,Year Round,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,10,N
16,ichhfQ,Ob0m49,NaN,Hickory Stick Stout,American-Style Stout,5,57,N
17,ichhfQ,GTCtKv,Limited,Imperial Dominance,American-Style Imperial Stout,10,NaN,N
18,ichhfQ,r0y96l,Seasonal,Imperial Stout,American-Style Imperial Stout,10.5,NaN,N
19,ichhfQ,2CCEd7,Seasonal,Irish Walker,British-Style Barley Wine Ale,7.7,NaN,N
20,ichhfQ,NzKMU3,Limited,Lindley Park,American-Style Imperial Stout,10,NaN,N
21,ichhfQ,nIECYI,Limited,Nitro Death By Hops,American-Style India Pale Ale,7,NaN,N
22,ichhfQ,JDJ6aI,Seasonal,Oktoberfest Lager,German-Style Märzen,NaN,NaN,N
23,ichhfQ,lmgdVa,NaN,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,NaN,N
24,ichhfQ,RDvThU,Limited,Omega Point,American-Style Barley Wine Ale,10,NaN,N
25,ichhfQ,z0RGYi,NaN,Peabody's Appalachian Ale,Specialty Beer,NaN,NaN,N
26,ichhfQ,TKgxGC,Year Round,Piedmont Pilsner,German-Style Pilsener,4.5,18.2,N
27,ichhfQ,SCXvJy,Limited,Redeemer,Imperial or Double India Pale Ale,10,NaN,N
28,ichhfQ,nYkcKF,Year Round,Ruby Lager,American-Style Premium Lager,4,20,N
29,ichhfQ,e9U5BU,Limited,Saison Revolution,French & Belgian-Style Saison,8.5,NaN,N
30,ichhfQ,5z4gmS,NaN,Seven Devils,Scotch Ale,8,48,N
31,ichhfQ,wbaBrw,Year Round,Southern Cross,American-Style Pilsener,NaN,NaN,N
32,ichhfQ,5ePlPd,Year Round,Table Rock Pale Ale,American-Style Pale Ale,5.5,50,N
33,ichhfQ,4WGjTP,Limited,The Bean,American-Style Stout,NaN,NaN,N
34,ichhfQ,U69UNh,Limited,The Event Horizon,American-Style Imperial Stout,8.5,NaN,N
35,ichhfQ,502JT6,NaN,Wake Up Bitter,American-Style India Pale Ale,7,NaN,N
36,ichhfQ,I6WI9k,Limited,Wavell Gunn,Scotch Ale,8.5,NaN,N
37,ichhfQ,hy8ZZ4,Year Round,Weizen-Bock,South German-Style Weizenbock / Weissbock,NaN,NaN,N
38,ichhfQ,1ETVSD,NaN,Wheat Wine,American-Style Wheat Wine Ale,9.1,18,N
39,ichhfQ,0NbUwv,Year Round,Wilson Creek E.S.B.,Extra Special Bitter,NaN,NaN,N
40,SYkdNz,gI6qhC,NaN,Arrowhead Red IPA,American-Style Amber/Red Ale,7.2,73,N
41,SYkdNz,pKwQEt,Year Round,Happy Top Wheat,American-Style Wheat Beer,4.8,21,N
42,SYkdNz,RefEOK,NaN,Leatherwood Red,American-Style Amber/Red Ale,5.6,38,N
43,SYkdNz,3yO2Xl,NaN,Wildcat Pale Ale,American-Style Pale Ale,6.2,78,N
44,Cwhr9F,7F3PYd,NaN,Commitment Phobia,Session India Pale Ale,5.5,40,N
45,Cwhr9F,jYmDi4,NaN,Cowboy Poet,American-Style Lager,4.8,15,N
46,Cwhr9F,Spq5dP,NaN,Dry Stout,Classic Irish-Style Dry Stout,NaN,NaN,N
47,nHLlnK,c4f2KE,NaN,'Murican Pilsner,American-Style Pilsener,5.5,NaN,N
48,nHLlnK,zTTWa2,NaN,11.5° PLATO,Session India Pale Ale,4.5,35,N
49,nHLlnK,qGDeH1,NaN,2 x 4,Other Belgian-Style Ales,8.7,NaN,N
50,nHLlnK,uIgENV,NaN,20th Street Ale Citra,Specialty Beer,7.3,NaN,N
51,nHLlnK,WcP2Ww,NaN,20th Street Ale Crystal,Specialty Beer,7.3,NaN,N
52,nHLlnK,HyxQE4,NaN,20th Street Ale Magnum,Specialty Beer,7.3,NaN,N
53,nHLlnK,7z8RTq,NaN,3 Weight,Session India Pale Ale,4,NaN,N
54,nHLlnK,KjumXn,NaN,30th Anniversary - Grand Cru,Other Strong Ale or Lager,9.2,NaN,N
55,nHLlnK,ajbd6g,NaN,35th Anniversary  - Brewer's Reserve,Strong Ale,8,NaN,N
56,nHLlnK,N4vZCt,Seasonal,40th Hoppy Anniversary Ale,American-Style India Pale Ale,6,65,N
57,nHLlnK,hbF6tu,Limited,ABLE Best Britter,Special Bitter or Best Bitter,4.3,NaN,N
58,nHLlnK,RK9Po6,NaN,Ale 20,American-Style Pale Ale,5.7,NaN,N
59,nHLlnK,hYaduh,Limited,Alt Route - Beer Camp Across America,German-Style Altbier,6.6,50,N
60,nHLlnK,iEMsk8,NaN,Anniversary Ale,American-Style India Pale Ale,5.9,NaN,N
61,nHLlnK,ItEVNY,Limited,Anniversary Ale,American-Style India Pale Ale,5.9,NaN,N
62,nHLlnK,fBZZUJ,NaN,Anniversary Ale,American-Style India Pale Ale,5.9,NaN,N
63,nHLlnK,uHEs7N,NaN,Audition - Altbier,German-Style Altbier,6.6,NaN,N
64,nHLlnK,fdnFoV,NaN,Audition - Belgian-Style Blonde,Belgian-Style Blonde Ale,6.3,NaN,N
65,nHLlnK,8ugUQF,NaN,Audition - Belgian-Style Pale Ale,Belgian-Style Pale Ale,5.3,NaN,N
66,nHLlnK,zrqusY,NaN,Audition - Dark Ale,American-Belgo-Style Ale,8.5,NaN,N
67,nHLlnK,BJFSW8,NaN,Audition - Double IPA,Imperial or Double India Pale Ale,8.5,NaN,N
68,nHLlnK,cBZj1z,NaN,Audition - English-Style Bitter,Ordinary Bitter,5.6,NaN,N
69,nHLlnK,NY86j7,NaN,Audition - Imperial Pilsner,American-Style Pilsener,8,NaN,N
70,nHLlnK,lEPIZg,NaN,Audition - Pale Ale,American-Style Pale Ale,6.5,NaN,N
