breweries,city,state,latitude,longitude,brewery_ID,brewery_type
7 Clans Brewing,Canton,North Carolina,35.5328838,-82.8373558,QEB46N,Micro Brewery
Olde Hickory Brewery,Hickory,North Carolina,35.72121,-81.387083,ichhfQ,Restaurant/Ale House
Andrews Brewing Company,Andrews,North Carolina,35.199271,-83.812814,SYkdNz,Nano Brewery
Archetype Brewing Company,Asheville,North Carolina,35.6005152,-82.5549742,Cwhr9F,Micro Brewery
Sierra Nevada Brewing Co.,Fletcher,North Carolina,35.4303824,-82.5489214,nHLlnK,Micro Brewery
New Belgium Brewing,Asheville,North Carolina,35.588358,-82.573548,Jt43j7,Micro Brewery
Ass Clown Brewing Company,Cornelius,North Carolina,35.4577774,-80.8545343,SWMzJ3,Micro Brewery
Barrel Culture,Durham,North Carolina,35.893296,-78.888539,bv8S0U,Micro Brewery
BDD Brewing Company,Rocky Mount,North Carolina,35.9592965,-77.8017468,4r25HI,Micro Brewery
Beer Army,New Bern,North Carolina,35.1515463,-77.1490848,iHEJZm,Restaurant/Ale House
Ghostface Brewing,Mooresville,North Carolina,35.5814879,-80.8153079,FSFN0j,Micro Brewery
Billy Beer Inc,Walstonburg,North Carolina,35.5945518,-77.699914,j8PiMZ,Production Facility
Catawba Brewing Co.,Asheville,North Carolina,35.5659744,-82.5397969,OCiWW5,Micro Brewery
Black Mountain Brewing,Black Mountain,North Carolina,35.6168281,-82.3195941,Wwgba7,Micro Brewery
Blowing Rock Brewing,Blowing Rock,North Carolina,36.1326714,-81.677025,p2bHtA,Micro Brewery
Blowing Rock Brewing,Hickory,North Carolina,35.7353882,-81.3258022,p2bHtA,Micro Brewery
Oskar Blues Brewery,Brevard,North Carolina,35.2534666,-82.706852,q6vJUK,Micro Brewery
UpCountry Brewing Co.,Brevard,North Carolina,35.238242,-82.735986,EeNu7g,Micro Brewery
Boondocks Brewing,West Jefferson,North Carolina,36.39957,-81.49158,Pf7pos,Micro Brewery
Dirtbag Ales,Hope Mills,North Carolina,34.9399796,-78.9133094,G21vGb,Micro Brewery
Brewery Bhavana,Raleigh,North Carolina,35.7774414,-78.6369037,m1KTdv,Micro Brewery
Bright Penny Brewing Company,Mebane,North Carolina,36.095674,-79.263659,87K5yW,Micro Brewery
Brouwerïj Cursus Kĕmē,Asheville,North Carolina,35.5759256,-82.5252043,P9cmyA,Micro Brewery
Bull Durham Beer Company,Durham,North Carolina,35.991585,-78.904016,h1SYe2,Micro Brewery
Carolina Brewery,Chapel Hill,North Carolina,35.9107497,-79.0628267,JKx7GQ,Brewpub
Rock Bottom Restaurant & Brewery,Charlotte,North Carolina,35.230194,-80.839336,D1UQzj,Brewpub
Catawba Brewing Co.,Charlotte,North Carolina,35.2245307,-80.8203339,OCiWW5,Micro Brewery
Check Six Brewing Company,Southport,North Carolina,33.9522705,-78.0444171,Lli3HQ,Micro Brewery
Clouds Brewing,Durham,North Carolina,35.9999644,-78.9101083,B5jTO7,Brewpub
Cotton House Craft Brewers,Cary,North Carolina,35.7844908,-78.7808915,ouxHD2,Micro Brewery
Crystal Coast Brewing Company,Atlantic Beach,North Carolina,34.7008756,-76.7413625,5zPMkZ,Micro Brewery
Divine Barrel Brewing,Charlotte,North Carolina,35.2502061,-80.7962924,Dr0DzL,Micro Brewery
Asheville Brewing Company,Asheville,North Carolina,35.5917433,-82.5553572,WDrFlD,Brewpub
Catawba Brewing Co.,Morganton,North Carolina,35.744683,-81.685705,OCiWW5,Micro Brewery
Draft Line Brewing,Fuquay-Varina,North Carolina,35.595338,-78.7954471,GB60WF,Micro Brewery
Dry Falls Brewing Co.,Hendersonville,North Carolina,35.3103986,-82.4628946,la8Dsz,Micro Brewery
DSSOLVR,Asheville,North Carolina,35.5969081,-82.5534597,IJEzHF,Micro Brewery
Eurisko Beer Company,Asheville,North Carolina,35.5862455,-82.5523569,46zcjJ,Micro Brewery
Fitzgerald's Irish Pub,Charlotte,North Carolina,35.2269273,-80.8403808,fQhCNM,Restaurant/Ale House
Flying Machine Brewing Company,Wilmington,North Carolina,34.229589,-77.901324,k8ujcf,Tasting Room
Foothills Brewing Company,Winston-Salem,North Carolina,36.045353,-80.323159,ajREdT,Tasting Room
Foothills Brewing Company,Winston-Salem,North Carolina,36.0975305,-80.250915,ajREdT,Brewpub
Fortnight Brewing Company,Cary,North Carolina,35.777278,-78.801539,nLP1fR,Micro Brewery
Fourth Creek Brewing Co.,Statesville,North Carolina,35.7841271,-80.8910222,apcbMr,Micro Brewery
Fox Hill Meadery,Marshall,North Carolina,35.701399,-82.725496,cESRYF,Meadery
Wicked Weed Brewing Company,Asheville,North Carolina,35.589172,-82.5552263,zeWbuM,Micro Brewery
Funky Skunk Brewing,Otto,North Carolina,35.0482835,-83.4323375,FWmPdY,Nano Brewery
Ghostface Brewing,Mooresville,North Carolina,35.5799965,-80.804496,FSFN0j,Restaurant/Ale House
Good Creature Brewing,Greensboro,North Carolina,36.0661049,-79.7905131,kh1g5M,Micro Brewery
Loe's Brewing Company,Granite Falls,North Carolina,35.7948892,-81.4299923,SHa2O7,Micro Brewery
Natty Greene's Brewing Co.,Greensboro,North Carolina,36.069368,-79.790431,rfXHD7,Brewpub
Guidon Brewing Company,Hendersonville,North Carolina,35.3227185,-82.4587108,9GPPjY,Micro Brewery
Hi-Wire Brewing,Asheville,North Carolina,35.5710813,-82.5459467,ueswRW,Micro Brewery
Loe's Brewing Company,Hickory,North Carolina,35.7597287,-81.3345216,SHa2O7,Micro Brewery
Skull Coast Ales,Hickory,North Carolina,35.735156,-81.325672,HX4Prz,Micro Brewery
Liberty Steakhouse and Brewery,High Point,North Carolina,35.988478,-80.00451,XOcBJQ,Brewpub
HopFly Brewing Company,Rocky Mount,North Carolina,35.9589495,-77.802199,ApVAD3,Micro Brewery
Incendiary Brewing Company,Winston-Salem,North Carolina,36.0966367,-80.240563,BajRnV,Micro Brewery
Keeper's Cut Meadery,Marion,North Carolina,35.681552,-82.0112971,beC6Xf,Meadery
Koi Pond Brewing Company,Rocky Mount,North Carolina,35.938012,-77.804379,0tKnKg,Micro Brewery
Coffee Brewery,Raleigh,North Carolina,35.8034825,-78.6340497,7JiAJ8,Production Facility
Lost Colony Brewery,Manteo,North Carolina,35.909509,-75.6695212,hd8yE8,Micro Brewery
Mad Co. Brew House,Marshall,North Carolina,35.7974112,-82.6848629,8NIrvv,Micro Brewery
Lynwood Brewing Concern,Raleigh,North Carolina,35.8704474,-78.7173494,DuLRZh,Micro Brewery
Green Man Brewery,Asheville,North Carolina,35.5886188,-82.5531836,kZAhYn,Brewpub
Bond Brothers Beer Company,Cary,North Carolina,35.7883075,-78.7777732,mEDZEd,Micro Brewery
Hayesville Brewing Co,Hayesville,North Carolina,35.039894,-83.7957094,GH37ia,Micro Brewery
The Dreamchaser's Brewery,Waxhaw,North Carolina,34.9252494,-80.7430102,SZSffk,Nano Brewery
Mill Whistle Brewing,Beaufort,North Carolina,34.7165356,-76.6490569,EFL2ud,Micro Brewery
Ghost Harbor Brewing Company,Elizabeth City,North Carolina,36.3007777,-76.2189429,Nb0pFN,Brewpub
Zillicoah Beer Co.,Woodfin,North Carolina,35.6172447,-82.5763487,nPgX4b,Tasting Room
Greenshields Brewery and Pub,Raleigh,North Carolina,35.776817,-78.635987,r01rHx,Brewpub
Oak City Brewing Company,Knightdale,North Carolina,35.7939123,-78.476717,HktnHV,Micro Brewery
Lower Left Brewing Co,Charlotte,North Carolina,35.182762,-80.8801084,GUASqL,Micro Brewery
Red Oak Brewery,Whitsett,North Carolina,36.061258,-79.56952,hNPjUO,Micro Brewery
